name,designation,nationality,listed_date,remarks
Abdul Karim Al-Masri,Individual,Syrian,2014-06-23,Associated with extremist armed groups
Abdul Rahim Khan,Individual,Afghan,2010-01-15,Linked to improvised explosive device networks
Abdul Salam Trading Co,Entity,Somali,2018-09-12,Supports operations of a listed armed faction
Abdullah Al-Farooq,Individual,Yemeni,2013-02-18,Facilitated foreign fighter travel
Aden Fisheries Export Ltd,Entity,Somali,2019-11-03,Illicit revenue generation for listed groups
Ahmed Global Logistics,Entity,Pakistani,2020-04-09,Afghan transit support to armed networks
Ahmed Rafiq,Individual,Pakistani,2011-12-17,Known procurement facilitator
Al Amal Finance House,Entity,Yemeni,2017-08-10,Funding channel for extremist causes
Al Ansar Charitable Society,Entity,Syrian,2016-05-20,Humanitarian cover for extremist group
Al Arafat Exchange,Entity,Afghan,2015-10-02,Known hawala operator for sanctioned group
Al Baraka Electronics Co,Entity,Sudanese,2022-03-01,Acquired restricted equipment
Al Burhan Steel Imports,Entity,Libyan,2020-06-17,Provided materials for prohibited activities
Al Fajr Trading Ltd,Entity,Somali,2016-07-23,Associated shell company for sanctions evasion
Al Farooq Shipping Lines,Entity,Iraqi,2014-09-18,Transported components for armed groups
Al Hadi Trust,Entity,Pakistani,2012-03-29,Funds diverted to listed organization
Al Hakam Industrial Co,Entity,Yemeni,2018-10-08,Associated with weapons procurement
Al Jazeera Construction Group,Entity,Sudanese,2017-07-21,Involved in diversion of controlled goods
Al Kareem Imports,Entity,Afghan,2018-11-14,Linked to explosives procurement
Al Madina Steel Works,Entity,Yemeni,2021-02-12,Industrial support to listed militia
Al Noor Charity Foundation,Entity,Pakistani,2010-05-21,Funds extremist media arms
Al Qadir Marine Lines,Entity,Somali,2019-03-30,Shipping network for prohibited items
Al Quds Cement Traders,Entity,Yemeni,2020-12-05,Provided raw material for prohibited structures
Al Rahmah Exporters,Entity,Pakistani,2021-06-11,Procures goods for extremist cells
Al Safa Heavy Machinery,Entity,Libyan,2022-01-19,Industrial procurement channel
Al Sayed International,Entity,Afghan,2014-03-15,Provided logistics to illicit groups
Al Shams Construction Co,Entity,Yemeni,2018-08-02,Front entity for clandestine activities
Al Tajir Electronics,Entity,Pakistani,2017-04-23,Illicit acquisition of communications equipment
Al Tanweer Import Export,Entity,Somali,2019-10-26,Associated with extremist procurement chain
Al Waha Trading FZE,Entity,UAE,2020-07-10,Acted as intermediary for arms network
Ali Hassan,Individual,Iraqi,2011-06-01,Trained operatives for listed group
Ali Raza,Individual,Pakistani,2017-09-29,Financial courier for extremist unit
Alpha Marine Services,Entity,Libyan,2020-03-07,Used to smuggle prohibited cargo
Amanullah Group,Entity,Afghan,2015-11-25,Associated with militant financing
Amin Steel Foundry,Entity,Pakistani,2013-05-02,Procurement of industrial components
Anbar Commercial Holdings,Entity,Iraqi,2021-09-17,Major logistics hub for armed group
Ansar Relief Foundation,Entity,Yemeni,2014-10-18,Funds extremist rehabilitation centers
Apex Freight Solutions,Entity,Somali,2016-02-11,Used for transnational goods diversion
Arabian Sunrise Imports,Entity,Iraqi,2020-01-28,Channel for smuggling operations
Arif Transport Co,Entity,Pakistani,2011-03-15,Linked to major logistics routes
Asia Defense Tools Ltd,Entity,Chinese,2020-12-22,Sales of restricted components
Atlas Engineering Works,Entity,Libyan,2017-11-13,Industrial fabrication for listed groups
Awan General Trading,Entity,UAE,2021-04-16,Intermediary for prohibited technologies
Aziz & Sons Traders,Entity,Afghan,2018-05-09,Known procurement facilitator
Baghdad Electronics Hub,Entity,Iraqi,2019-06-21,Import of controlled sensors
Bakr Al Jundi,Individual,Yemeni,2010-04-19,Senior operative in armed faction
Baloch Marine Exports,Entity,Pakistani,2021-10-29,Used for maritime smuggling
Barakat Steel Ltd,Entity,Somali,2019-12-05,Supplier for improvised weapons
Basra Oil & Gas FZE,Entity,UAE,2018-11-17,Revenue used for illicit activities
Beacon Metals Traders,Entity,Libyan,2017-06-09,Involved in dual-use materials
