name,address,country,sector,mieul_category,risk_reason,added_date,license_requirement,remarks
AeroQuantum Intelligence Center,Beijing, China,Intelligence Systems,MI-End User,Development of airborne intelligence platforms,2020-01-17,License Required for All Items,Suspected integration with ISR aircraft
Alpha Military Intelligence Bureau,Moscow, Russia,Signals Intelligence,MI-End User,Signal interception & analysis units,2019-11-04,License Required,Linked to state intelligence operations
Altima Reconnaissance Division,Chengdu, China,Defense Intelligence,MI-End Use,Drone-based intelligence data processing,2021-05-22,License Required,UAV intelligence-tasking indicators present
Arctic Strategic Command Unit,St. Petersburg, Russia,Defense Intelligence,MI-End User,Analysis of satellite intelligence feeds,2018-12-29,License Required,Suspected military satellite data utilization
Asia-Pacific AI Recon Group,Shanghai, China,AI Surveillance,MI-End Use,AI-enabled pattern detection for intel ops,2019-06-11,License Required,Algorithm signatures match classified systems
Atlas GeoSpatial Intelligence Lab,Wuhan, China,Geospatial Analytics,MI-End User,Target mapping & imaging analysis,2020-09-05,License Required for All Items,Imagery segmentation beyond civilian needs
Aurora Defense Intelligence Ops,Tehran, Iran,Signals Intelligence,MI-End User,Encrypted communication monitoring,2017-08-27,License Required,Possible classified monitoring systems
Beijing Military Data Fusion Center,Beijing, China,Analytics,MI-End Use,Fusion of battlefield sensor data,2021-04-02,License Required,Suspected integration with active combat nodes
Blue Ocean Maritime Intel Office,Qingdao, China,Naval Intelligence,MI-End User,Naval routes analysis & vessel tracking,2018-03-18,License Required,Sub-surface mapping indicators detected
BrightStar Tactical Info Bureau,Lahore, Pakistan,Defense Analysis,MI-End Use,Tactical battlefield analysis tools,2020-10-21,License Required,Possible integration with restricted intel software
Caspian Electronic Intel Works,Rostov, Russia,Electronic Intelligence,MI-End User,RF signal monitoring units,2021-12-01,License Required for All Items,Classified waveform analysis signals
Central Defense Reconnaissance Unit,Beijing, China,ISR Systems,MI-End Use,Real-time drone & satellite feed processing,2019-05-03,License Required,UAV swarm intelligence logs found
Changzhou MI Targeting Office,Changzhou, China,Targeting Systems,MI-End User,Target attribution & battlefield analysis,2017-11-19,License Required for All Items,Military-grade targeting metadata
Chongqing Tactical Intelligence Hub,Chongqing, China,Defense Analytics,MI-End Use,Combat scenario simulation & analytics,2020-07-30,License Required,Suspected AI-enabled threat projections
Cobalt Intelligence Engineering,Kazan, Russia,Intelligence R&D,MI-End User,Classified intel system modeling,2018-04-09,License Required for All Items,Linked to national intel programs
