name,country,reason_for_listing,license_requirement,remarks
AeroTech Precision Ltd,China,Involved in missile technology development,License Required for All Items,Suspected procurement for ballistic programs
Alpha Semiconductor Co,Taiwan,Illicit acquisition of controlled ICs,License Required for All Items,Dual-use technology diversion risk
Alpine Steel Industries,India,Procurement of dual-use metals,License Required for All Items,Materials linked to weapons components
Altima Electronics Group,UAE,Transfer of restricted RF modules,License Required for All Items,Front company for Iranian procurement
Apex Industrial Tools,China,Export of controlled CNC machines,License Required for All Items,Potential support for military modernization
Arctic Navigation Systems,Russia,Development of unmanned naval systems,License Required for All Items,High-risk military end use
Asia Pacific Robotics,China,Acquisition of robotic systems for defense,License Required for All Items,Military integration concerns
Atlas Heavy Machinery,Belarus,Direct support to weapons development,License Required for All Items,Involvement in prohibited R&D
Aurora Space Technologies,China,Satellite technology diversion risk,License Required for All Items,Linked to military aerospace units
Beijing Advanced Optics,China,Procurement of night-vision components,License Required for All Items,Diversion to restricted units
Beijing Aeronautics Institute,China,Development of UAV subsystems,License Required for All Items,Military aerospace linkages
Bharat Industrial Metals,India,Diversion of specialized alloys,License Required for All Items,Possible missile production support
Blue River Electronics,China,High-end chip diversion,License Required for All Items,Intermediary for sensitive semiconductors
Brightway Global Trading,Pakistan,Procurement for defense labs,License Required for All Items,Known weapons R&D supplier
Caspian MicroSystems,Russia,Development of advanced processors,License Required for All Items,National-security controlled chips
Central Asia Electronics,Kazakhstan,Reexport of sensitive US components,License Required for All Items,Weak compliance controls
Changzhou Robotics Co,China,Military drone component supplier,License Required for All Items,Linked to restricted UAV programs
Chongqing Sensors Inc,China,Export-controlled sensors procurement,License Required for All Items,High precision measurement tools
Cobalt Navigation Systems,China,Development of GPS-denied navigation tools,License Required for All Items,Military end use suspected
ComTech Integrated Circuits,China,Unauthorized access to controlled ICs,License Required for All Items,Downstream for ballistic systems
Cosmos Engineering Works,Iran,Diversion of industrial tools,License Required for All Items,Linked to missile assembly plants
Crimson Dynamics,Russia,Research for combat electronics,License Required for All Items,Defense innovation hub
CyberLink Automation,China,Advanced PLC diversion risk,License Required for All Items,Possible contributions to military AI
Dalian Aero Components,China,Aircraft engine components procurement,License Required for All Items,Used in military jet engines
Delta Semiconductor Pvt Ltd,India,Advanced lithography equipment diversion,License Required for All Items,Concern for unauthorized reexport
Diamond Precision Tools,China,Advanced CNC tools supply,License Required for All Items,Possible weapons machining use
Eastern Robotics Lab,China,UAV systems R&D,License Required for All Items,Connected to restricted aerospace institute
Elite Industrial Chemicals,Iran,Procurement of restricted chemical precursors,License Required for All Items,High WMD concern
Empire Navigation Systems,Russia,Advanced guidance navigation development,License Required for All Items,Military end use
Everest Precision Works,China,High-tolerance fabrication tools,License Required for All Items,Linked to defense machining efforts
Falcon Radar Systems,Pakistan,Procurement of radar components,License Required for All Items,Possible airborne radar deployment
Fars Electronics Industries,Iran,Procurement of restricted microelectronics,License Required for All Items,Supports missile electronics
FutureTech Robotics,China,AI/robotic integration for combat drones,License Required for All Items,High-risk dual-use development
Galaxy Navigation Labs,China,Production of navigation-grade IMUs,License Required for All Items,Sensitive aerospace applications
Global Semiconductor Hub,China,Advanced chip manufacturing risk,License Required for All Items,Potential diversion to restricted labs
Golden Star Metallurgy,Iran,Procurement of aerospace alloys,License Required for All Items,Supports missile structural components
Green Valley Electronics,China,Electronic warfare component supplier,License Required for All Items,High-risk defense contractor
Hafez Industrial Engineering,Iran,Acquisition of industrial control systems,License Required for All Items,Supports restricted facilities
Harbin Aviation R&D,China,Unmanned systems development,License Required for All Items,Affiliated with military institutes
Horizon Engine Components,China,Procurement of export-controlled turbine blades,License Required for All Items,Jet engine integration
Ibrahim Analytical Systems,Pakistan,Procurement of scientific instruments,License Required for All Items,Potential nuclear research use
Iceberg Engineering,Russia,Support to military vehicle R&D,License Required for All Items,Tracks design for armored systems
Imperial Dynamics Group,China,Research on ballistic missile improvements,License Required for All Items,High-level defense collaboration
Industrial Metals Overseas,UAE,Transshipment of specialized metals,License Required for All Items,Known front for Iranian supply
Infinite Microsystems,China,Unauthorized acquisition of U.S. chips,License Required for All Items,Downstream military contractor
Inspire Robotics,China,Development of robotic manipulators,License Required for All Items,Potential nuclear application
Iran NanoMaterials Institute,Iran,Composite materials development,License Required for All Items,Supports missile structures
IronBridge Engineering,Russia,Production of weapons-grade steel,License Required for All Items,Defense material supplier
