name,country,address,list_type,program,risk_level,source,notes
Abdul Rahman Trading Co,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Abdullah Hassan,Pakistan,,OFAC_SDN,SDNTK,High,OFAC,
Abu Nasser Group,Iraq,,OFAC_SDN,SDGT,High,OFAC,
AeroTech Import Export Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Ahsan Logistics Inc,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Akhtar Ali,Saudi Arabia,,OFAC_SDN,SDGT,High,OFAC,
Al Aqsa Martyrs Brigade,Palestine,,OFAC_SDN,SDT,High,OFAC,
Al Baraka Exchange,UAE,,OFAC_SDN,SDGT,High,OFAC,
Al Furat Trading LLC,Syria,,OFAC_SDN,SDGT,High,OFAC,
Al Huda Trust,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Al Khalifa Shipping Services,Bahrain,,OFAC_SDN,SDGT,High,OFAC,
Al Madina Traders,Oman,,OFAC_SDN,SDGT,High,OFAC,
Al Nasser Oil Co,Libya,,OFAC_SDN,NPWMD,High,OFAC,
Al Noor Foundation,Egypt,,OFAC_SDN,SDGT,High,OFAC,
Al Quds Steel Works,Iran,,OFAC_SDN,SDGT,High,OFAC,
Al-Arabi Exchange Co,Kuwait,,OFAC_SDN,SDGT,High,OFAC,
Ali Mohammed Kareem,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Alpha Global Services Ltd,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Alpha Star Aviation,Sudan,,OFAC_SDN,NPWMD,High,OFAC,
Alphatech Dynamics,China,,OFAC_SDN,NPWMD,High,OFAC,
Amanullah Shah,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Ameritech Solutions,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Amin Shipping Lines,Qatar,,OFAC_SDN,SDGT,High,OFAC,
Amir Farooq,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Anbar Logistics Group,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Apex Defense Systems,North Korea,,OFAC_SDN,NPWMD,High,OFAC,
Apex Global Metals,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Arabian Gold Exchange,UAE,,OFAC_SDN,SDGT,High,OFAC,
Arif Enterprises,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Arman Industrial Co,Iran,,OFAC_SDN,NPWMD,High,OFAC,
Asia Defense Trade Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Asia Marine Holdings,Malaysia,,OFAC_SDN,SDGT,High,OFAC,
Atlas Heavy Machinery,Belarus,,OFAC_SDN,NPWMD,High,OFAC,
Aviation ProTech Ltd,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Ayman Khan,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Azmatullah Transport Co,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Bahria Exchange,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Balkan Arms Group,Serbia,,OFAC_SDN,NPWMD,High,OFAC,
Basra Metals Trading Co,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Black River Defense Co,South Africa,,OFAC_SDN,NPWMD,High,OFAC,
Blue Sky Exports Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Blue Wave Shipping Lines,Syria,,OFAC_SDN,SDGT,High,OFAC,
Bright Future Charitable Trust,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Capital Marine Logistics,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Caspian Electronics Group,Iran,,OFAC_SDN,NPWMD,High,OFAC,
Central Asia Freight Co,Uzbekistan,,OFAC_SDN,SDGT,High,OFAC,
Chen Wei,China,,OFAC_SDN,NPWMD,High,OFAC,
China Precision Tools Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Crescent Trading Group,UAE,,OFAC_SDN,SDGT,High,OFAC,
Crimson Arms Industries,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Cyberlink IT Solutions,China,,OFAC_SDN,NPWMD,High,OFAC,
Dar Al Salam Traders,Jordan,,OFAC_SDN,SDGT,High,OFAC,
Delta Engineering Works,India,,OFAC_SDN,NPWMD,High,OFAC,
Desert Eagle Oil Co,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Eastern Technologies Ltd,North Korea,,OFAC_SDN,NPWMD,High,OFAC,
Eastwind Shipping Co,Syria,,OFAC_SDN,SDGT,High,OFAC,
Elite Global Holdings,UAE,,OFAC_SDN,SDGT,High,OFAC,
Elite Marine Lines,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Empire Metals Ltd,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Euro Asia Electronics,Kazakhstan,,OFAC_SDN,NPWMD,High,OFAC,
Farah Khan,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Farooq Exchange House,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Fars Industrial Group,Iran,,OFAC_SDN,NPWMD,High,OFAC,
FastTrack Cargo LLC,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Fayez Shipping Co,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Firehawk Defense Industries,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Fortune Aviation Parts,China,,OFAC_SDN,NPWMD,High,OFAC,
Global Arms Solutions,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Global Digital Services,China,,OFAC_SDN,NPWMD,High,OFAC,
Global Freight Movers,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Global Industrial Metals FZC,UAE,,OFAC_SDN,SDGT,High,OFAC,
Global Maritime Group,Egypt,,OFAC_SDN,SDGT,High,OFAC,
Golden Crescent Traders,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Golden Falcon Trading,Qatar,,OFAC_SDN,SDGT,High,OFAC,
Golden Star Charities,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Gulf Coast Engineering,Oman,,OFAC_SDN,NPWMD,High,OFAC,
Gulf Marine Exporters,UAE,,OFAC_SDN,SDGT,High,OFAC,
Gulf Oil Partners,Saudi Arabia,,OFAC_SDN,SDGT,High,OFAC,
Hadi International,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Hafiz Ali,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Haji Brothers Exports,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Horizon Electronics Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Hurricane Defense Group,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Ibrahim Musa,Somalia,,OFAC_SDN,SDGT,High,OFAC,
Imperial Tech Associates,Iran,,OFAC_SDN,NPWMD,High,OFAC,
IronBridge Metal Works,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Jamal Import Export,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Javed & Sons Trading,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Jiangsu Defense Tech,China,,OFAC_SDN,NPWMD,High,OFAC,
Jinlong Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Kabul Logistics & Freight,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Kadar Importers,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Kamal Shipping Lines,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Kandahar Gold Exchange,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Karimullah Transport Co,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Kashmir Relief Front,India,,OFAC_SDN,SDGT,High,OFAC,
Khalid Industrial Suppliers,Saudi Arabia,,OFAC_SDN,SDGT,High,OFAC,
Khan Marine Traders,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Khyber Petroleum Co,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Kingdom Steel FZC,UAE,,OFAC_SDN,SDGT,High,OFAC,
Leo Electronics Co,China,,OFAC_SDN,NPWMD,High,OFAC,
Liberty Aviation & Parts,Russia,,OFAC_SDN,NPWMD,High,OFAC,
LionGate Defense Group,North Korea,,OFAC_SDN,NPWMD,High,OFAC,
Marine Global Lines,Syria,,OFAC_SDN,SDGT,High,OFAC,
MidEast Procurement LLC,UAE,,OFAC_SDN,NPWMD,High,OFAC,
Monarch Heavy Industries,Belarus,,OFAC_SDN,NPWMD,High,OFAC,
Moonlight Charities Foundation,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Naveed Ali,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
NeoTech Systems,China,,OFAC_SDN,NPWMD,High,OFAC,
New Horizon Tools Ltd,India,,OFAC_SDN,NPWMD,High,OFAC,
Nile Marine Corp,Egypt,,OFAC_SDN,SDGT,High,OFAC,
North Star Electronics,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Oasis Industrial Traders,Qatar,,OFAC_SDN,SDGT,High,OFAC,
OceanLink Shipping,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Omega Materials Co,Iran,,OFAC_SDN,NPWMD,High,OFAC,
Orient Cargo Express,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Pacific Arms Corporation,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Pacific Electronics Importers,China,,OFAC_SDN,NPWMD,High,OFAC,
Pakistan Relief Trust,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Pearl Maritime Services,Bahrain,,OFAC_SDN,SDGT,High,OFAC,
Phoenix International Ltd,China,,OFAC_SDN,NPWMD,High,OFAC,
Pinnacle Engineering,India,,OFAC_SDN,NPWMD,High,OFAC,
Prime Global Metals,UAE,,OFAC_SDN,SDGT,High,OFAC,
Qari Abdullah,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Qatar Marine Logistics,Qatar,,OFAC_SDN,SDGT,High,OFAC,
Rafah Trading House,Palestine,,OFAC_SDN,SDGT,High,OFAC,
Red Crescent Traders,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Red Hawk Defense Industries,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Redwood Precision Tools,China,,OFAC_SDN,NPWMD,High,OFAC,
Rehan Import Export,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Rising Sun Engineering,China,,OFAC_SDN,NPWMD,High,OFAC,
Royal Cargo Movers,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Royal Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Sahara Relief Trust,India,,OFAC_SDN,SDGT,High,OFAC,
Sahara Steel Works,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Sahara Transport Lines,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
SecureTech Systems,China,,OFAC_SDN,NPWMD,High,OFAC,
Shahzad Ali,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Shams International,Saudi Arabia,,OFAC_SDN,SDGT,High,OFAC,
Shehryar Trading FZC,UAE,,OFAC_SDN,SDGT,High,OFAC,
Silver Wing Cargo,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Skyline Aviation Parts,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Star Asia Exports,China,,OFAC_SDN,NPWMD,High,OFAC,
Starline Metals,Turkey,,OFAC_SDN,SDGT,High,OFAC,
SteelBridge Holdings,UAE,,OFAC_SDN,SDGT,High,OFAC,
Summit Marine Lines,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Sunrise Gold Exchange,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Sunset Oil Traders,Iraq,,OFAC_SDN,SDGT,High,OFAC,
SuperTech Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Swift Transit Movers,Syria,,OFAC_SDN,SDGT,High,OFAC,
Syed Brothers Trading,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Synergy Defense Systems,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Tech Global Solutions,China,,OFAC_SDN,NPWMD,High,OFAC,
Techlink Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Titan Aviation Parts,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Titan Heavy Industries,North Korea,,OFAC_SDN,NPWMD,High,OFAC,
TopLine Cargo Movers,Iraq,,OFAC_SDN,SDGT,High,OFAC,
TransAsia Shipping Lines,Yemen,,OFAC_SDN,SDGT,High,OFAC,
TransWorld Traders,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
TriStar Engineering,China,,OFAC_SDN,NPWMD,High,OFAC,
Triumph Metals Ltd,Turkey,,OFAC_SDN,SDGT,High,OFAC,
United Electronics Group,China,,OFAC_SDN,NPWMD,High,OFAC,
United Global Holdings,UAE,,OFAC_SDN,SDGT,High,OFAC,
United Shipping Services,Lebanon,,OFAC_SDN,SDGT,High,OFAC,
Universal Cargo Lines,Syria,,OFAC_SDN,SDGT,High,OFAC,
Universal Engineering Corp,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Universal Metal Works,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Vanguard Electronics,China,,OFAC_SDN,NPWMD,High,OFAC,
Velocity Logistics,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
Victory Marine Services,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Vortex Precision Tools,China,,OFAC_SDN,NPWMD,High,OFAC,
West Coast Freightways,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Westline Steel Traders,Afghanistan,,OFAC_SDN,SDGT,High,OFAC,
White Star Holdings,UAE,,OFAC_SDN,SDGT,High,OFAC,
WolfTech Defense Ltd,Russia,,OFAC_SDN,NPWMD,High,OFAC,
World Marine Transport,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Yaqoob Trading Co,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
Yemen Star Shipping,Yemen,,OFAC_SDN,SDGT,High,OFAC,
Zenith Aviation Systems,Russia,,OFAC_SDN,NPWMD,High,OFAC,
Zenith Global Metals,Iraq,,OFAC_SDN,SDGT,High,OFAC,
Zia Electronics Hub,China,,OFAC_SDN,NPWMD,High,OFAC,
Zircon Marine Lines,Turkey,,OFAC_SDN,SDGT,High,OFAC,
Zubair International,Pakistan,,OFAC_SDN,SDGT,High,OFAC,
AeroPrime Technologies,China,,OFAC_SDN,NPWMD,High,OFAC,
Alpha Industrial Machines,India,,OFAC_SDN,NPWMD,High,OFAC,
Arabian Metals Group,Bahrain,,OFAC_SDN,SDGT,High,OFAC,
Asia Marine Freight,UAE,,OFAC_SDN,SDGT,High,OFAC,
Atlas Cargo Handlers,Jordan,,OFAC_SDN,SDGT,High,OFAC,
