name,address,country,uvl_added_date,reason
AeroTech Solutions,Beijing, China,2018-03-15,Unable to verify end-user legitimacy
Alpha Industrial Robotics,Shenzhen, China,2019-06-12,Verification request unanswered
Alpine Electronic Tools,Guangzhou, China,2020-04-09,Inconclusive verification attempt
Aman Steel Works,Lahore, Pakistan,2017-10-28,End-use documentation incomplete
Amir Precision Tools,Karachi, Pakistan,2021-05-14,Unable to confirm bona fides
Apex MicroSystems,Shanghai, China,2019-01-23,End-use information inconsistent
Arctic Industrial Co,Minsk, Belarus,2020-02-16,Lack of transparency in transactions
Asia Pacific Engineering,Chengdu, China,2018-11-19,No response to end-user inquiry
Atlas Machining Tools,Guangxi, China,2021-07-02,Unable to verify authenticity of buyer
Aurora Navigation Systems,Wuhan, China,2017-05-31,Questionable procurement patterns
Beijing Semiconductor Works,Beijing, China,2018-08-26,Unverified due to missing documentation
Beijing Steel Machinery Co,Beijing, China,2019-10-07,Unable to confirm operational legitimacy
Blue Star Electronics,Shenzhen, China,2020-06-17,Incomplete end-use certification
Brightway Robotics,Hong Kong, China,2021-09-14,Unconfirmed end-user business activities
Capital Industrial Imports,Shanghai, China,2018-04-04,Suspicious purchasing history
Caspian Chip Traders,Tashkent, Uzbekistan,2019-03-21,Unable to verify due to incomplete records
Central Robotics Lab,Shenzhen, China,2021-11-10,No response to BIS inquiry
Changzhou Steel Works,Changzhou, China,2017-12-22,Failure to complete end-user verification
Chen Electronics Co,Wuhan, China,2018-06-15,Unable to verify facility operations
China Advanced Materials Group,Hangzhou, China,2019-02-14,High-risk unverified procurement
China Automation Hub,Shanghai, China,2020-01-29,Unverified supply chain links
China Marine Components,Guangzhou, China,2017-09-11,End-user inquiry unanswered
China NanoTech Engineering,Beijing, China,2019-11-06,Inadequate compliance response
Core Dynamics,Shenzhen, China,2020-07-23,Unable to confirm corporate details
Crescent Industrial Parts,Lahore, Pakistan,2018-05-18,Documentation discrepancies
Crimson Robotics,Chengdu, China,2021-02-08,Failed verification due to non-cooperation
CyberVision Technologies,Shanghai, China,2017-01-14,Unverified due to incomplete responses
Dalian MicroTools,Dalian, China,2019-09-12,Unable to confirm end-use destination
Delta NanoFab,Beijing, China,2020-03-05,End-user facility unavailable for verification
Diamond Marine Traders,Karachi, Pakistan,2018-10-30,Inconsistent procurement records
