name,address,country,sector,risk_reason,added_to_meu_date,license_requirement,remarks
AeroDefense Materials Group,Beijing, China,Aerospace,Procurement of turbine engine components for military jets,2019-04-21,License Required for All Items,Linked with state-controlled aerospace unit
Alpha Robotics Institute,Shanghai, China,Robotics,Development of autonomous robotic platforms for defense use,2020-07-12,License Required,Suspected integration with UAV systems
Altima Missile Research Center,Chengdu, China,Missile Systems,R&D in ballistic missile subsystem components,2018-11-03,License Required for All Items,Advanced guidance component testing observed
Arctic Naval Technologies,Murmansk, Russia,Marine Systems,Development of naval propulsion units for combat vessels,2017-12-29,License Required,Associated with restricted naval yards
Asia Precision Optics,Shenzhen, China,Defense Optics,Procurement of night-vision & high-resolution optics,2021-06-17,License Required for All Items,Possible diversion to defense labs
Atlas Heavy Armaments Lab,Minsk, Belarus,Defense Manufacturing,Production of heavy-grade steel for armored vehicles,2019-03-28,License Required,Supports multiple restricted entities
Aurora Aeronautics Systems,Harbin, China,Aerospace,Research into UAV aerodynamics for surveillance drones,2018-10-15,License Required,Suspected involvement in defense R&D
Beacon Marine Components,St. Petersburg, Russia,Marine Systems,Procurement of marine-grade sonar components,2020-09-04,License Required for All Items,Sonar arrays linked to restricted navy unit
Beijing Advanced Propulsion Works,Beijing, China,Aerospace,Development of jet engine combustion components,2021-02-11,License Required,Test facilities match military engine labs
Beijing ElectroWar Systems,Beijing, China,Electronic Warfare,Acquisition of RF jammers and signal disruptors,2017-06-30,License Required for All Items,EW interference capability suspected
Blue Horizon Chip Foundry,Shanghai, China,Semiconductors,Advanced IC fabrication for military-grade use,2020-01-08,License Required,Linked to defense electronics division
BrightStar Guidance Systems,Wuhan, China,Missile Systems,Development of navigation-grade inertial sensors,2019-12-19,License Required for All Items,High-precision IMU procurement flagged
Caspian Naval Engineering,Rostov, Russia,Marine Systems,Construction of hybrid propulsion for navy crafts,2018-05-03,License Required,Defense shipyard affiliations observed
Central Robotics Defense Lab,Beijing, China,Robotics,Research on robotic combat assistive systems,2021-09-27,License Required,Suspected testing of tactical robots
Changzhou Defense Electronics,Changzhou, China,Defense Electronics,Procurement of restricted microcontrollers,2017-08-11,License Required for All Items,Diversion channel for military ICs
Chongqing AeroTech,Chongqing, China,Aerospace,Acquisition of flight-control boards for UAVs,2019-11-06,License Required,High-end FCUs replicated locally
Cobalt Defense Metallurgy,Kazan, Russia,Materials,Production of alloys used in missile casings,2020-07-22,License Required for All Items,Military alloy specifications detected
ComTech Integrated Warfare Labs,Moscow, Russia,Electronic Warfare,Research into EW offensive capability,2018-02-18,License Required,Signals intelligence overlap suspected
Cosmos Aerospace Navigation,Beijing, China,Aerospace,Development of GPS-denied navigation modules,2021-01-28,License Required,GNSS-resistant tests observed
Crimson Aviation Machining,Harbin, China,Aerospace,Manufacturing of parts for high-performance jet engines,2017-10-07,License Required for All Items,Precision tolerances match fighter-jet specs
CyberLink Autonomous Defense Lab,Shanghai, China,AI & Robotics,AI-enabled combat target recognition research,2020-05-01,License Required,Possible defense AI deployment
Dalian Marine Dynamics,Dalian, China,Marine Systems,Structural components for unmanned underwater vehicles,2018-11-14,License Required for All Items,UUV component mapping suggests military end-use
Delta Optical Targeting Systems,Beijing, China,Defense Optics,Procurement of laser-range targeting optics,2021-04-03,License Required,Potential weapons integration
Diamond Missile Components,Chengdu, China,Missile Systems,Control fin and actuator manufacturing for missiles,2019-06-22,License Required for All Items,Strong ties to ballistic R&D
Eastern Robotics Warfare Division,Wuhan, China,Robotics,Combat-grade robotic arm development,2018-04-12,License Required,Unusual procurement of hydraulic servos
Elite Tactical Navigation,Rostov, Russia,Navigation Systems,Development of tactical-grade navigation computers,2020-08-27,License Required,Tested in military field exercises
Empire Jet Structures,Beijing, China,Aerospace,Advanced airframe component development,2017-01-19,License Required for All Items,Materials match restricted aircraft designs
Everest Metallurgical Defense Works,Lahore, Pakistan,Materials,Procurement of high-strength carbon steel,2019-03-13,License Required,Alloy spec matches missile-body standards
Falcon Military Radar Labs,Islamabad, Pakistan,Defense Electronics,Testing of airborne and ground-based radar units,2020-10-11,License Required,Suspected dual-use radar modification
Fars Combat Engineering,Tehran, Iran,Defense R&D,Procurement of micro-instrumentation tools,2017-04-29,License Required for All Items,Linked to missile calibration sites
FutureTech Autonomous Defense,Shenzhen, China,AI & Robotics,AI-driven autonomous drone algorithms,2021-09-09,License Required for All Items,Probable UAV targeting research
Galaxy Tactical Sensors,Chengdu, China,Navigation Systems,Development of high-accuracy gyroscopes,2019-05-14,License Required,Precision > defense threshold
Global Marine Propulsion Labs,Shanghai, China,Marine Systems,High-power propulsion rotor development,2020-01-26,License Required for All Items,Matches restricted navy engine design
Golden Star Defense Materials,Tehran, Iran,Materials,Composite prepregs for aerospace structures,2018-08-17,License Required,Linked to controlled aerospace programs
Green Valley Defense Electronics,Beijing, China,Defense Electronics,RF and signal-processing system acquisition,2017-12-08,License Required for All Items,Unverified military collaboration
Hafez Military Optics,Shiraz, Iran,Defense Optics,Precision optical lens procurement,2019-09-01,License Required,Suspected weapon-sighting adaptation
Harbin Aero Systems Lab,Harbin, China,Aerospace,Airborne telemetry components R&D,2021-03-18,License Required for All Items,Telemetry anomalies detected
Horizon Missile Propulsion,Chengdu, China,Missile Systems,Development of low-signature propulsion units,2018-05-30,License Required,Possible medium-range missile use
Ibrahim Tactical Engineering,Karachi, Pakistan,Defense Manufacturing,Procurement of precision industrial cutters,2020-12-06,License Required for All Items,Matches missile part machining requirements
Iceberg Combat Electronics,Moscow, Russia,Electronic Warfare,Signal-interference module development,2019-07-27,License Required,Integrated with ground-based EW units
Imperial Aerospace Robotics,Shanghai, China,Aerospace Robotics,Autonomous swarm drone research,2021-10-15,License Required,UAV swarm tests suspected
Industrial Military Materials,UAE (Dubai),Materials,Dual-use metal procurement for defense parts,2017-06-02,License Required for All Items,Diversion detected through shipping patterns
Infinite Defense MicroSystems,Beijing, China,Semiconductors,High-density ICs for military boards,2019-02-20,License Required,Suspected IC obfuscation
