name,address,country,denial_order_start,denial_order_end,reason
Ahmed Rauf,Karachi, Pakistan,2018-06-12,2030-06-12,Illicit procurement of export-controlled components
Aisha Logistics Ltd,Lagos, Nigeria,2019-10-03,2031-10-03,Unauthorized reexport of U.S. aircraft parts
Akhtar Defense Co,Peshawar, Pakistan,2020-01-22,2035-01-22,Material support to restricted military programs
Al Ameen Trading FZE,Dubai, UAE,2017-03-18,2030-03-18,Use of shell entities for sanctions evasion
Al Baraka Electronics,Doha, Qatar,2018-11-07,2033-11-07,Illegal transshipment of dual-use microchips
Al Fajar Metals Co,Muscat, Oman,2019-12-14,2032-12-14,Export diversion involving missile-grade alloys
Al Hamra Shipping,Yemen, Yemen,2021-08-25,2036-08-25,Assisting movement of controlled items
Ali Yousuf Co,Lahore, Pakistan,2016-09-30,2029-09-30,Repeated export violations
Alpha Dynamics Corp,Moscow, Russia,2020-06-13,2035-06-13,Supporting restricted aerospace research
Alpha Marine Traders,Tripoli, Libya,2018-04-14,2031-04-14,Unauthorized acquisition of controlled navigation systems
Amanullah Global Ltd,Kabul, Afghanistan,2017-07-11,2030-07-11,Procurement agent for illicit networks
Amber Tools Pvt Ltd,New Delhi, India,2021-05-19,2034-05-19,Illegal import of restricted manufacturing tools
Amir Shipping Lines,Basra, Iraq,2020-02-08,2033-02-08,Transport of prohibited defense items
Anbar Procurement Co,Erbil, Iraq,2018-01-27,2031-01-27,Procurement for designated entities
Apex Steel Works,Beirut, Lebanon,2016-10-14,2029-10-14,Export violations involving metal composites
Arabian Star Logistics,Jeddah, Saudi Arabia,2019-01-15,2032-01-15,Illicit transshipment of defense components
Arif Electronics,Multan, Pakistan,2017-03-22,2030-03-22,Acquisition of controlled microelectronics
ArkTech Industrial Ltd,Shanghai, China,2020-10-02,2035-10-02,Unauthorized U.S. technology transfers
Asia Cargo Movers,Colombo, Sri Lanka,2021-04-18,2034-04-18,Supporting diversion networks
Atlas Machinery Co,Tehran, Iran,2018-02-17,2033-02-17,Procurement of missile production tools
Ayaan Ship Brokers,Mogadishu, Somalia,2017-08-24,2030-08-24,Transporting restricted maritime systems
Basra Oil Tools,Basra, Iraq,2020-06-11,2033-06-11,Unauthorized export of industrial drilling tools
Beijing Marine Institute,Beijing, China,2019-03-09,2032-03-09,Assisting naval military programs
Blue Horizon Exports,Ankara, Turkey,2018-05-16,2031-05-16,Diversion of dual-use electronics
Brightway Tech Ltd,Hong Kong, China,2021-09-12,2034-09-12,Unauthorized export of RF components
Capital Engineering Group,Doha, Qatar,2017-06-07,2030-06-07,Procurement for high-risk end users
Caspian Global Lines,Baku, Azerbaijan,2020-10-29,2035-10-29,Shipping banned items under false documentation
Central Industrial Traders,Tashkent, Uzbekistan,2019-11-25,2034-11-25,Export evasion scheme involvement
Chen Precision Tools,Wuhan, China,2020-12-08,2035-12-08,Manufacture of controlled CNC parts
China NanoChip Systems,Shenzhen, China,2021-01-17,2036-01-17,Unauthorized acquisition of U.S. semiconductors
Coastal Marine Exports,Alexandria, Egypt,2017-09-04,2030-09-04,Smuggling of controlled maritime motors
Crescent Electronics,Yangon, Myanmar,2021-06-15,2034-06-15,High-risk reexport of processors
Crimson Trade House,Astana, Kazakhstan,2018-12-21,2031-12-21,Weapon system components diversion
CyberTech Automated Systems,Beijing, China,2019-07-18,2034-07-18,Controlled PLC exports
Dar Al Khalid Metals,Amman, Jordan,2016-11-13,2031-11-13,Procurement for ballistic testing units
Delta Tech Solutions,Bucharest, Romania,2018-10-29,2033-10-29,Assisting evasion of export controls
Diamond Star Marine,Izmir, Turkey,2020-01-02,2035-01-02,Transport of restricted cargo
Eagle Eye Navigation,Moscow, Russia,2019-08-03,2034-08-03,Navigation system development for restricted use
East Wind Holdings,Beirut, Lebanon,2016-04-14,2029-04-14,Repeated violations in export documentation
Eastern Motor Parts,Kyiv, Ukraine,2017-12-26,2030-12-26,Illegal reexport of controlled motor equipment
Elite Industrial Robotics,Shanghai, China,2021-02-10,2036-02-10,Dual-use robotics for strategic military uses
Empire Machinery Co,Shiraz, Iran,2020-03-14,2033-03-14,Manufacture of missile-grade tools
EverGreen Cargo Lines,Doha, Qatar,2017-05-09,2030-05-09,Maritime transport of restricted items
Everest Chip Solutions,Hangzhou, China,2020-11-21,2035-11-21,Sensitive microchip procurement
Falcon Aero Dynamics,Islamabad, Pakistan,2021-08-27,2036-08-27,Procurement for UAV programs
Farah Steel Foundry,Kabul, Afghanistan,2018-09-03,2031-09-03,Material support to designated networks
Fars Electronics Lab,Yazd, Iran,2019-06-14,2034-06-14,Export violations involving microelectronics
FastTrack Cargo Movers,Mogadishu, Somalia,2020-04-19,2035-04-19,Smuggling of controlled dual-use goods
Five Oceans Marine,Dubai, UAE,2019-02-07,2034-02-07,Shipping arms-related components
Galaxy MicroSystems,Chengdu, China,2021-07-12,2036-07-12,Controlled microcontrollers development
Global Defense Tools,Moscow, Russia,2018-10-18,2033-10-18,Assisting development of EW technologies
Global Electronics Hub,Tehran, Iran,2017-01-06,2030-01-06,Unauthorized procurement of electronic sensors
Gulf Stream Technologies,Muscat, Oman,2020-08-22,2035-08-22,Procurement of tactical electronic systems
Hadi Industrial Metals,Karachi, Pakistan,2019-05-08,2034-05-08,Steel diversion to missile facilities
Hafez Marine Components,Shiraz, Iran,2016-06-17,2029-06-17,Support to naval weapons integration
Halal Electronics,Benghazi, Libya,2021-10-04,2036-10-04,Procurement of sensitive electronic units
Harbin Robotics Institute,Harbin, China,2018-03-09,2033-03-09,Development of robotic military units
Horizon Avionics,Taipei, Taiwan,2019-12-01,2034-12-01,Unauthorized aircraft component exports
Hyder Manufacturing,Rawalpindi, Pakistan,2020-02-16,2035-02-16,Repeated violation of export regulations
Imperial Global Movers,Doha, Qatar,2021-01-29,2036-01-29,Transport of restricted materials
Industrial Mechanics Corp,Kuala Lumpur, Malaysia,2018-11-07,2031-11-07,Diversion of CNC tools
Infinite Marine Traders,Alexandria, Egypt,2020-09-23,2033-09-23,Unauthorized procurement of marine radar
Inspire Heavy Machinery,Istanbul, Turkey,2016-12-18,2029-12-18,Export control violations involving metal cutting tools
Iran Composite Materials Co,Ahvaz, Iran,2019-07-11,2034-07-11,Development of missile composites
Iraqi Metals Group,Baghdad, Iraq,2020-07-13,2035-07-13,Procurement for armor manufacturing
IronHill Materials,Minsk, Belarus,2021-03-27,2036-03-27,Producer of restricted alloys
Jamal Steel & Tools,Kandahar, Afghanistan,2017-10-19,2030-10-19,Material supplier to prohibited units
Jiangsu Navigation Lab,Nanjing, China,2018-09-24,2033-09-24,Development of restricted guidance systems
Jinlong Aero Components,Chongqing, China,2019-11-08,2034-11-08,Unauthorized procurement for aerospace uses
Jupiter Defense Tools,Beijing, China,2020-06-02,2035-06-02,Unauthorized acquisition of U.S. optics
Kabul Machinery Traders,Kabul, Afghanistan,2018-12-11,2031-12-11,Procurement of restricted metalworking tools
Kamran Robotics Pvt Ltd,Islamabad, Pakistan,2021-09-06,2036-09-06,Development of controlled robotic components
Karim Industrial Co,Benghazi, Libya,2017-08-15,2030-08-15,Repeated violations in dual-use exports
Kashmir Electronics House,Lahore, Pakistan,2019-04-28,2034-04-28,Export fraud involving microcontrollers
Kazakh Heavy Metals,Astana, Kazakhstan,2020-09-17,2035-09-17,Diversion of special alloy sheets
Khan Global Movers,Karachi, Pakistan,2021-02-14,2036-02-14,Shipping restricted equipment to illicit users
Kiara Navigation Systems,Beijing, China,2018-04-20,2033-04-20,Unauthorized reexport of GPS modules
Kinetic AeroTech,Rostov, Russia,2020-11-23,2035-11-23,Support to restricted UAV programs
Kohinoor Steel Works,Rawalpindi, Pakistan,2017-05-07,2030-05-07,Material support to prohibited networks
Korea Marine Integration,Pyongyang, North Korea,2021-10-22,2036-10-22,Assistance in naval weapons systems
Lahore Aero Dynamics,Lahore, Pakistan,2019-03-30,2034-03-30,Acquisition of export-controlled avionics
Lakeview Electronics,Minsk, Belarus,2018-10-05,2033-10-05,Diversion of restricted electronic components
Liberty Automation Systems,Moscow, Russia,2021-12-08,2036-12-08,PLC systems export violations
Libya Marine Traders,Tripoli, Libya,2020-05-14,2035-05-14,Illegal shipping of restricted goods
Lima Industrial Tools,Lima, Peru,2019-07-19,2034-07-19,Unauthorized procurement of CNC tools
LionTech MicroCircuits,Shenzhen, China,2018-09-16,2033-09-16,Sensitive chip procurement for military use
Long March Electronics,Beijing, China,2020-08-28,2035-08-28,Support to missile electronics programs
Lotus Steel Manufacturing,Tehran, Iran,2021-03-12,2036-03-12,Manufacture of missile-grade materials
Magma Chip Industries,Shanghai, China,2019-01-09,2034-01-09,Unauthorized semiconductor acquisitions
Majestic Heavy Tools,Karachi, Pakistan,2018-11-27,2033-11-27,Dual-use metal tools diversion
Makran Marine Services,Gwadar, Pakistan,2021-07-18,2036-07-18,Transport of restricted naval items
Marine Systems Holdings,Moscow, Russia,2017-12-23,2030-12-23,Naval technology procurement
Matrix Engineering Works,Bucharest, Romania,2020-06-09,2035-06-09,Export of prohibited machinery
Mecca Industrial Parts,Jeddah, Saudi Arabia,2019-12-02,2034-12-02,Procurement for ballistic test labs
